srcIp,dstIp,srcPort,dstPort,protocol,packetCount,flow_index,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
172.18.161.20,172.18.160.174,60125,6001,UDP,20,10,530859008,522113024,521876992,56600064,56471808,60966144,60843008,58012558.222222224,57986332.44444445,0.03767478689934937,29.72540686358665,5809152,50945024,27939947.789473683,22253044.181791876,0,0.0,0,0.0,5809152,27939947.789473683,50945024,22253044.181791876
172.18.161.20,172.18.160.174,12336,12639,UDP,10,11,522113024,522113024,0,56600064,0,60966144,0,58012558.222222224,0.0,0.019152941107249605,4.060423514736916,56600064,60966144,58012558.222222224,1531350.2908989976,0,0.0,0,0.0,56600064,58012558.222222224,60966144,1531350.2908989976
172.18.161.20,172.18.160.174,58785,6002,UDP,20,12,535437056,528120064,526363136,55236096,55224064,63281920,63565056,58680007.11111111,58484792.88888889,0.037352663167190284,29.471251238913133,4576000,50966016,28180897.684210528,22041086.32025379,0,0.0,0,0.0,4576000,28180897.684210528,50966016,22041086.32025379
172.18.161.20,172.18.160.174,12336,12895,UDP,10,13,528120064,528120064,0,55236096,0,63281920,0,58680007.11111111,0.0,0.01893508821509194,4.014238701599491,55236096,63281920,58680007.11111111,2285088.913149576,0,0.0,0,0.0,55236096,58680007.11111111,63281920,2285088.913149576
172.18.161.20,172.18.160.174,58786,6003,UDP,20,14,526848768,520153856,517618944,56164096,56026112,60516864,60359936,57794872.88888889,57513216.0,0.03796155787916733,29.951669166663024,5254144,51006976,27728882.52631579,22502211.42879986,0,0.0,0,0.0,5254144,27728882.52631579,51006976,22502211.42879986
172.18.161.20,172.18.160.174,12336,13151,UDP,10,15,520153856,520153856,0,56164096,0,60516864,0,57794872.88888889,0.0,0.019225080972965044,4.075717166268589,56164096,60516864,57794872.88888889,1558671.056655352,0,0.0,0,0.0,56164096,57794872.88888889,60516864,1558671.056655352
172.18.161.20,172.18.160.174,58787,6004,UDP,20,16,529672192,523510016,521979136,55075072,54853888,62276096,62111232,58167779.55555555,57997681.777777776,0.03775920333759942,29.792011433365943,4419072,50918912,27877483.789473683,22254854.509523526,0,0.0,0,0.0,4419072,27877483.789473683,50918912,22254854.509523526
172.18.161.20,172.18.160.174,12336,13407,UDP,10,17,523510016,523510016,0,55075072,0,62276096,0,58167779.55555555,0.0,0.01910183128186797,4.049588231756009,55075072,62276096,58167779.55555555,2107910.62790095,0,0.0,0,0.0,55075072,58167779.55555555,62276096,2107910.62790095
172.18.161.20,172.18.160.174,63093,6005,UDP,20,18,522724864,516087808,516209920,56699136,56506880,57873920,57943808,57343089.777777776,57356657.777777776,0.03826104587211677,30.18796519310013,5799936,50994944,27511834.94736842,22681934.930683017,0,0.0,0,0.0,5799936,27511834.94736842,50994944,22681934.930683017
172.18.161.20,172.18.160.174,12336,13663,UDP,10,19,516087808,516087808,0,56699136,0,57873920,0,57343089.777777776,0.0,0.01937654764361339,4.107828100446039,56699136,57873920,57343089.777777776,359385.84666127915,0,0.0,0,0.0,56699136,57343089.777777776,57873920,359385.84666127915
